category,effective_price,source,identifier,original_price,datetime,date,prefer,name
chicken,5.69,evroopt,1207465,5.69,2021-12-27 07:44:37,2021-12-27,True,"Тушка цыпленка-бройлера «Петруха» потрошеная, охлажденная 1 кг"
milk_low_fat,1.655539,evroopt,567997,1.49,2021-12-27 07:44:37,2021-12-27,True,"«Бабушкина крынка» ультрапастеризованное, 1.5%, 900 мл"
milk_high_fat,1.944425,evroopt,568002,1.75,2021-12-27 07:44:37,2021-12-27,True,"«Бабушкина крынка» ультрапастеризованное, 3.2%, 900 мл"
cheese,3.53,evroopt,761990,3.53,2021-12-27 07:44:37,2021-12-27,True,"«Брест-Литовск» Классический, 45 %, 200 г"
tvaroh,2.49,evroopt,684114,2.49,2021-12-27 07:44:37,2021-12-27,True,"Творог рассыпчатый «Савушкин», 5%, 350 г"
egg,2.61,evroopt,24541,2.61,2021-12-27 07:44:37,2021-12-27,True,"«1-я Минская птицефабрика» С1, 10 шт"
oatmeal,0.89,evroopt,1192,0.89,2021-12-27 07:44:37,2021-12-27,True,"Хлопья овсяные «Экстра» № 3, 500 г"
bread,0.83,evroopt,882055,0.83,2021-12-27 07:44:37,2021-12-27,True,"Хлеб «Майский» традиционный, 450 г"
kaubasa,9.46,evroopt,33827,9.46,2021-12-27 07:44:37,2021-12-27,True,"«Докторская» высшего сорта, 1 кг, фасовка 0.6 - 0.8 кг"
chicken,5.69,evroopt,1207465,5.69,2021-12-30 08:45:13,2021-12-30,True,"Тушка цыпленка-бройлера «Петруха» потрошеная, охлажденная 1 кг"
milk_low_fat,1.66665,evroopt,567997,1.5,2021-12-30 08:45:13,2021-12-30,True,"«Бабушкина крынка» ультрапастеризованное, 1.5%, 900 мл"
milk_high_fat,1.944425,evroopt,568002,1.75,2021-12-30 08:45:13,2021-12-30,True,"«Бабушкина крынка» ультрапастеризованное, 3.2%, 900 мл"
cheese,3.53,evroopt,761990,3.53,2021-12-30 08:45:13,2021-12-30,True,"«Брест-Литовск» Классический, 45 %, 200 г"
tvaroh,2.49,evroopt,684114,2.49,2021-12-30 08:45:13,2021-12-30,True,"Творог рассыпчатый «Савушкин», 5%, 350 г"
egg,2.54,evroopt,225378,2.54,2021-12-30 08:45:13,2021-12-30,True,"«Оршанская Птицефабрика» Семейный завтрак, С1, 10 шт"
oatmeal,0.89,evroopt,1192,0.89,2021-12-30 08:45:13,2021-12-30,True,"Хлопья овсяные «Экстра» № 3, 500 г"
bread,0.83,evroopt,882055,0.83,2021-12-30 08:45:13,2021-12-30,True,"Хлеб «Майский» традиционный, 450 г"
kaubasa,9.5,evroopt,365111,9.5,2021-12-30 08:45:13,2021-12-30,True,"«Докторская с маслицем» высшего сорта, 1 кг, фасовка 0.6 - 0.8 кг"
